game_id,eventnum,eventmsgtype,eventmsgactiontype,period,wctimestring,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,person1type,player1_id,player1_name,player1_team_id,player1_team_city,player1_team_nickname,player1_team_abbreviation,person2type,player2_id,player2_name,player2_team_id,player2_team_city,player2_team_nickname,player2_team_abbreviation,person3type,player3_id,player3_name,player3_team_id,player3_team_city,player3_team_nickname,player3_team_abbreviation,video_available_flag
0020500175,78,2,1,1,8:33 PM,0:30,MISS Jaric 25' 3PT Jump Shot,,,,,4.0,2060,Marko Jaric,1610612750.0,Minnesota,Timberwolves,MIN,0.0,0,,,,,,0.0,0,,,,,,0
0020200898,126,8,0,2,9:15 PM,8:48,,,SUB: Martin FOR Johnson,,,5.0,1533,Anthony Johnson,1610612751.0,New Jersey,Nets,NJN,5.0,2030,Kenyon Martin,1610612751.0,New Jersey,Nets,NJN,0.0,0,,,,,,0
0029600108,31,2,5,1,11:44 PM,7:23,,,MISS Mourning  Layup,,,5.0,297,Alonzo Mourning,1610612748.0,Miami,Heat,MIA,0.0,0,,,,,,0.0,0,,,,,,0
0022200637,511,2,1,4,9:48 PM,9:35,,,MISS D. Lee 3PT Jump Shot,,,5.0,1627814,Damion Lee,1610612756.0,Phoenix,Suns,PHX,0.0,0,,,,,,0.0,0,,,,,,1
0020100330,11,2,1,1,10:43 PM,10:00,,,MISS Williams 25' 3PT Jump Shot,,,5.0,1715,Jason Williams,1610612763.0,Memphis,Grizzlies,MEM,0.0,0,,,,,,0.0,0,,,,,,0
0020000843,114,2,1,2,11:37 AM,10:38,MISS Croshere 14' Jump Shot,,Patterson BLOCK (1 BLK),,,4.0,1506,Austin Croshere,1610612754.0,Indiana,Pacers,IND,0.0,0,,,,,,5.0,1739,Ruben Patterson,1610612760.0,Seattle,SuperSonics,SEA,0
0029900481,411,1,7,4,2:04 PM,2:41,Traylor Dunk (8 PTS) (Workman 6 AST),,,79 - 133,54,4.0,1714,Robert Traylor,1610612749.0,Milwaukee,Bucks,MIL,4.0,906,Haywoode Workman,1610612749.0,Milwaukee,Bucks,MIL,0.0,0,,,,,,0
0020000530,139,4,0,2,2:46 PM,9:00,Abdur-Rahim REBOUND (Off:1 Def:2),,,,,4.0,949,Shareef Abdur-Rahim,1610612763.0,Vancouver,Grizzlies,VAN,0.0,0,,,,,,0.0,0,,,,,,0
0020501188,439,4,0,4,9:22 PM,5:02,,,Dalembert REBOUND (Off:4 Def:3),,,5.0,2223,Samuel Dalembert,1610612755.0,Philadelphia,76ers,PHI,0.0,0,,,,,,0.0,0,,,,,,0
0029600979,140,6,3,2,13:18 PM,5:31,,,Mills L.B.FOUL (P1.T2),,,5.0,168,Chris Mills,1610612739.0,Cleveland,Cavaliers,CLE,5.0,0,,1610612739.0,Cleveland,Cavaliers,CLE,0.0,0,,,,,,0
