game_id,foul_team,team_foul_count
29601100,SAC,27
29601129,VAN,21
29601175,ATL,19
49600050,HOU,21
49600087,UTA,26
49600088,UTA,25
29700005,MIA,21
29700012,UTA,36
29700037,VAN,22
29700051,SEA,24
29700106,MIA,27
29700136,PHX,22
29700131,BOS,30
29700144,MIN,19
29700160,POR,28
29700170,BOS,26
29700193,BOS,23
29700202,LAC,19
29700228,CHI,20
29700332,CLE,17
29700427,WAS,21
29700471,VAN,23
29700474,POR,21
29700488,CHH,18
29700515,MIA,29
29700511,CHI,31
29700528,VAN,24
29700547,MIL,26
29700616,MIA,23
29700627,MIN,24
29700667,BOS,31
29700670,MIN,25
29700720,CLE,27
29700729,BOS,21
29700761,TOR,26
29700769,CHI,20
29700794,BOS,29
29600044,,1
29600142,,1
29600155,,3
29600421,,1
29600659,,2
29600672,,1
29600727,,2
29601022,,3
29601040,,1
49600022,,1
49600055,,4
29700046,,1
29700132,,1
29700312,,1
29700564,,6
29700688,,1
29600025,NYK,16
29600080,WAS,18
29600090,NJN,24
29600127,MIL,16
29600174,SAS,19
29600210,VAN,23
29600226,ATL,19
29600297,SAS,23
29600303,CLE,25
29600351,ATL,20
29600403,CLE,28
29600426,MIA,16
29600445,TOR,21
29600455,UTA,21
29600457,POR,21
29600458,DAL,20
29600615,ATL,19
29600618,PHX,23
29600654,WAS,24
29600673,LAL,17
29600693,DEN,18
29600695,TOR,18
29600711,MIN,19
29600729,POR,31
29600830,PHX,23
29600825,SEA,25
29600905,GSW,21
29600963,HOU,16
29600970,TOR,27
29600978,NYK,17
29600981,LAC,23
29601052,DET,11
29601060,GSW,19
29601079,WAS,17
29601097,PHX,18
29601120,UTA,23
29601145,SAS,19
29601155,MIA,22
49600030,ATL,21
49600079,UTA,24
29700008,GSW,22
29700008,MIN,18
29700020,MIN,26
29700094,UTA,17
29700168,DEN,23
29700190,NJN,23
29700393,NYK,22
29700477,DAL,22
29700491,TOR,23
29700531,SAC,15
29700539,WAS,22
29700561,PHX,18
29700562,VAN,22
29700593,DAL,19
29700646,LAC,22
29700665,IND,15
29700730,SAC,20
29700781,BOS,20
29700791,MIN,30
29600054,,2
29601169,,3
49600060,,3
29700238,,1
29700416,,1
29700533,,2
29700596,,1
29700653,,1
29700684,,2
29700798,,2
29600308,DEN,18
29600361,ORL,21
29600481,NYK,26
29600482,PHI,15
29600514,IND,27
29600518,MIN,17
29600565,CHI,11
29600617,PHI,23
29600730,WAS,17
29600748,LAL,26
29600768,SEA,24
29600814,IND,28
29600833,UTA,17
29600869,HOU,26
29600880,VAN,21
29600918,WAS,21
29601009,SEA,26
29601015,NJN,17
29601157,DET,15
29601165,BOS,23
29601172,SAS,18
49600004,LAC,26
29700040,SAC,27
29700153,NJN,30
29700179,SAS,13
29700197,NYK,26
29700214,ATL,23
29700239,DAL,19
29700266,UTA,28
29700278,BOS,26
29700289,DAL,21
29700351,MIA,27
29700364,NYK,12
29700394,NJN,29
29700410,CHH,19
29700448,DAL,18
29700462,SAC,22
29700519,DET,29
29700595,LAC,28
29700613,CHI,15
29700648,UTA,29
29700691,PHX,19
29700700,LAC,16
29700752,CHI,21
29700767,BOS,23
29700785,CHH,15
29700789,HOU,31
29600095,,4
29600150,,1
29600220,,1
29600591,,1
29600880,,3
29600917,,2
29600946,,1
29601103,,1
49600021,,3
29700042,,1
29700148,,1
29700219,,2
29700304,,1
29700403,,2
29700472,,1
29700502,,2
29700610,,3
29700629,,1
29700768,,2
29600004,ORL,22
29600067,DAL,28
29600069,POR,26
29600159,NJN,29
29600178,CHI,16
29600189,CHH,23
29600206,UTA,25
29600221,SEA,23
29600225,NYK,27
29600257,LAC,23
29600276,DEN,24
29600291,CHI,18
29600302,CHH,19
29600353,DET,21
29600355,DAL,24
29600366,CHH,23
29600392,VAN,22
29600433,PHI,21
29600436,IND,29
29600441,VAN,20
29600454,VAN,21
29600455,CHI,20
29600469,DAL,27
29600484,DET,21
29600493,UTA,26
29600511,HOU,20
29600533,MIL,14
29600548,HOU,19
29600573,SAC,24
29600577,CHI,17
29600656,BOS,19
29600741,LAC,20
29600743,POR,9
29600753,DEN,22
29600801,PHX,26
29600916,SEA,23
29600973,SAS,23
29600976,GSW,21
29601044,HOU,15
29601054,PHX,18
29601066,CHI,16
29601080,NJN,28
29601108,ORL,22
29601116,WAS,18
29601137,WAS,25
29601170,MIN,25
49600013,LAL,19
49600029,PHX,24
49600048,LAL,35
49600070,CHI,28
49600072,CHI,25
29700003,PHI,16
29700084,CHI,19
29700088,DEN,22
29700156,MIN,23
29700181,DEN,22
29700240,HOU,14
29700279,PHI,23
29700295,DAL,21
29700293,CHI,17
29700312,LAC,26
29700360,SEA,18
29700404,LAL,25
29700464,LAL,21
29700498,WAS,29
29700550,NYK,16
29700593,CHH,19
29700684,MIA,33
29700717,POR,22
29700726,CHI,19
29700731,DEN,26
29700734,CHH,24
29700755,DET,18
29700764,GSW,20
29700801,PHI,28
29600068,,5
29600301,,1
29600489,,1
29600686,,1
29600810,,1
29600838,,1
29601135,,1
49600016,PHX,26
29700191,,1
29700365,,5
29700589,,2
29700595,,1
29700709,,2
29600051,ATL,17
29600047,ORL,22
29600072,ATL,18
29600134,MIN,19
29600156,WAS,22
29600246,DEN,27
29600261,CHI,20
29600334,ORL,28
29600345,SAS,20
29600371,WAS,20
29600447,POR,22
29600500,MIL,21
29600527,CLE,17
29600559,DAL,31
29600558,PHX,14
29600583,BOS,33
29600685,PHI,18
29600763,NJN,16
29600762,HOU,18
29600790,CHH,16
29600869,LAL,21
29600877,CHI,29
29600966,ORL,19
29601019,IND,31
29601023,POR,15
29601084,UTA,27
29601145,SAC,22
29601151,CHH,18
29601181,SEA,22
29601182,TOR,20
49600088,CHI,30
29700018,PHI,20
29700024,DAL,19
29700100,SAS,26
29700114,DEN,28
29700184,PHI,32
29700201,UTA,18
29700196,CLE,27
29700211,SAS,20
29700330,MIA,29
29700389,GSW,22
29700445,DEN,29
29700582,IND,25
29700588,MIN,22
29700597,VAN,22
29700616,NYK,23
29700632,UTA,24
29700710,PHI,19
29700714,LAC,18
29700709,MIA,21
29700756,MIA,21
29600041,,1
29600184,,1
29600488,,1
29600671,,1
29601012,,1
29700180,,1
29700323,,1
29700346,,2
29700451,,1
29700487,,2
29700760,,1
29600020,MIL,30
29600051,SAC,28
29600094,MIA,32
29600105,NJN,31
29600126,LAL,19
29600206,LAC,27
29600253,LAL,22
29600254,IND,26
29600263,HOU,23
29600295,DET,22
29600330,CHI,25
29600552,NYK,30
29600569,PHI,22
29600604,MIA,19
29600630,CHI,20
29600625,PHX,26
29600644,SAC,28
29600657,SAC,18
29600665,LAC,26
29600690,LAC,25
29600687,TOR,19
29600703,DAL,21
29600705,POR,30
29600792,DEN,23
29600808,UTA,23
29600824,CLE,24
29600827,ATL,19
29600847,SEA,20
29600914,ORL,14
29600917,IND,30
29600944,VAN,19
29600955,CLE,21
29600988,UTA,25
29601131,DEN,16
29601128,ATL,19
29601189,POR,20
49600042,HOU,17
49600063,HOU,26
29700070,BOS,24
29700178,DET,23
29700194,LAL,24
29700206,WAS,22
29700215,DET,24
29700218,NJN,21
29700242,NJN,25
29700255,HOU,22
29700261,IND,27
29700274,DAL,25
29700383,DET,19
29700407,VAN,17
29700421,PHI,21
29700437,SAC,18
29700461,PHI,28
29700508,NYK,22
29700590,DET,19
29700640,DET,21
29700720,MIL,24
29700747,UTA,18
29700783,SAC,20
29700790,MIL,22
29600253,,1
29600317,,1
29600389,,1
29600399,,3
29600454,,1
29600615,,2
29600619,,1
29600684,,2
29600881,,1
29600919,,1
49600006,,2
29700052,,1
29700402,,2
29700530,,1
29700646,,2
29700720,,3
29600009,SAC,24
29600115,DEN,28
29600184,HOU,15
29600203,VAN,23
29600262,VAN,18
29600349,PHI,30
29600450,BOS,22
29600467,MIA,29
29600592,ATL,20
29600609,TOR,21
29600638,ATL,17
29600727,SEA,26
29600820,GSW,29
29600839,PHI,21
29600850,SAS,20
29600853,POR,26
29600947,MIN,17
29600953,PHI,24
29600962,POR,15
29601012,CLE,26
29601088,DET,28
29601102,CHH,26
49600002,MIA,15
49600006,WAS,25
49600043,CHI,23
49600051,ATL,21
49600075,UTA,23
29700004,ORL,22
29700021,SAS,30
29700075,SEA,23
29700087,LAC,34
29700085,MIN,23
29700107,CHI,18
29700238,MIL,22
29700244,DET,27
29700244,SEA,20
29700275,HOU,17
29700304,IND,25
29700331,CHH,28
29700333,BOS,28
29700329,PHI,24
29700339,LAC,19
29700348,POR,29
29700366,ORL,23
29700414,NJN,17
29700431,CHI,20
29700470,DEN,28
29700541,MIN,28
29700542,ORL,29
29700568,TOR,24
29700610,HOU,18
29700610,LAC,26
29700652,PHI,20
29700668,PHI,23
29700680,HOU,14
29600539,,2
29600674,,2
29600833,,1
29600834,,2
29600895,,2
29600943,,1
29601118,,2
29601184,,1
29700397,,1
29600036,LAC,20
29600074,VAN,18
29600112,LAC,31
29600354,VAN,22
29600391,UTA,22
29600398,LAC,25
29600398,POR,20
29600400,ORL,19
29600408,BOS,17
29600410,IND,26
29600466,DEN,22
29600461,PHX,27
29600460,ORL,30
29600480,GSW,14
29600492,CLE,18
29600536,TOR,18
29600561,WAS,25
29600584,PHI,19
29600660,VAN,26
29600804,LAL,23
29600819,VAN,28
29600820,WAS,33
29600834,TOR,23
29600872,SEA,25
29600905,LAL,25
29600914,CHH,16
29600993,ATL,15
29601104,UTA,29
29601119,MIL,30
29601128,MIN,29
29601159,POR,15
29601181,LAC,27
49600022,SEA,23
49600071,HOU,25
29700030,SAS,31
29700075,PHI,32
29700090,NYK,18
29700093,HOU,19
29700095,PHX,15
29700141,CHH,24
29700150,TOR,21
29700167,GSW,22
29700161,ORL,19
29700184,CLE,27
29700195,MIL,25
29700208,ATL,28
29700238,CHH,24
29700346,DET,24
29700361,BOS,24
29700416,CHI,25
29700443,IND,23
29700509,VAN,21
29700534,CLE,27
29700623,ORL,20
29700634,LAL,32
29700688,HOU,24
29700728,HOU,16
29600289,,2
29600417,,1
29600561,,1
29600836,,2
29601008,,2
29601029,,3
29601062,,1
29601142,,2
29601160,,2
29700026,,1
29700125,,1
29700384,,1
29700650,,1
29600029,UTA,25
29600040,ATL,20
29600092,POR,20
29600090,WAS,24
29600136,LAL,22
29600227,TOR,21
29600229,SAC,25
29600307,VAN,24
29600343,CHH,21
29600389,GSW,12
29600404,DEN,21
29600406,GSW,20
29600419,HOU,19
29600432,SAC,22
29600454,LAL,20
29600487,PHX,17
29600519,ORL,22
29600546,ORL,20
29600601,MIA,21
29600615,LAC,12
29600662,CHH,18
29600682,WAS,25
29600721,HOU,25
29600752,LAC,18
29600759,DEN,21
29600774,DET,17
29600784,GSW,25
29600798,IND,27
29600866,DEN,31
29600864,TOR,23
29600867,DET,28
29600897,SAC,21
29600937,BOS,28
29601011,CHI,15
29601017,WAS,17
29601025,WAS,17
29601033,DET,26
29601038,ORL,24
29601086,VAN,12
29601103,IND,19
29601109,DAL,27
29601147,TOR,22
29601186,MIL,20
49600038,ATL,15
49600059,SEA,25
29700127,SEA,22
29700131,TOR,27
29700164,DET,21
29700224,ATL,19
29700234,UTA,23
29700278,MIL,19
29700295,UTA,12
29700306,MIA,23
29700363,VAN,20
29700367,CHH,20
29700403,SEA,29
29700438,SEA,20
29700500,CHH,22
29700511,SEA,30
29700564,NJN,18
29700576,CLE,23
29700578,CHI,25
29700615,IND,28
29700695,IND,28
29700757,DEN,34
29700792,UTA,24
29600225,,1
29600422,,1
29600419,,2
29600587,,1
29600662,,2
29600758,,1
29600830,,3
29600945,,2
29601123,,1
29700058,,1
29700117,,1
29700550,,2
29600029,HOU,20
29600068,UTA,23
29600072,LAL,24
29600139,PHI,19
29600178,LAC,26
29600177,NJN,17
29600198,GSW,31
29600298,SAC,22
29600309,TOR,31
29600318,BOS,25
29600337,MIL,29
29600422,LAC,30
29600542,GSW,23
29600603,LAL,27
29600674,UTA,22
29600679,CHH,18
29600707,WAS,34
29600718,DEN,20
29600789,SEA,15
29600832,PHI,19
29600837,SAC,23
29600856,ATL,19
29600896,TOR,18
29600898,LAC,21
29600933,MIN,16
29601057,WAS,17
29601072,POR,18
29601160,SEA,15
49600059,HOU,23
49600063,SEA,20
29700010,DEN,30
29700027,DET,21
29700152,SAC,30
29700147,POR,23
29700175,POR,22
29700220,UTA,33
29700246,MIN,21
29700329,MIN,24
29700357,DAL,17
29700372,SAC,26
29700390,LAC,27
29700403,PHX,28
29700415,DAL,19
29700423,WAS,17
29700434,PHX,21
29700443,TOR,20
29700439,ORL,20
29700478,HOU,20
29700485,MIA,27
29700516,SAS,20
29700553,CHH,18
29700577,LAC,30
29700690,UTA,23
29700696,CHI,24
29700735,LAC,20
29700786,SEA,20
29600110,,2
29600196,,3
29600778,,3
29600792,,1
29600795,,1
29600845,,4
29600968,,2
29601108,,1
29700067,,2
29700241,,1
29700429,,1
29700517,,1
29700543,,1
29700770,,3
29700792,,1
29600011,SEA,29
29600018,MIA,34
29600032,DET,21
29600049,PHX,29
29600086,LAL,27
29600105,POR,22
29600110,SAS,23
29600190,DET,13
29600223,TOR,27
29600226,BOS,19
29600241,PHX,22
29600261,MIA,19
29600273,PHI,21
29600292,IND,24
29600331,ATL,16
29600369,LAC,30
29600388,NYK,23
29600413,SAS,25
29600438,SAS,20
29600444,IND,21
29600451,MIL,23
29600473,SEA,28
29600482,HOU,24
29600498,SAC,20
29600506,PHX,24
29600513,VAN,20
29600553,PHI,18
